ThreadID: 4006bf0b797f0000, CarID: 0, Object: C0, time stamp: 3, AID: 0 traveling to connector.
ThreadID: 40f63e0b797f0000, CarID: 1, Object: C0, time stamp: 3, AID: 0 traveling to connector.
ThreadID: 40e6be0a797f0000, CarID: 2, Object: C0, time stamp: 3, AID: 0 traveling to connector.
ThreadID: 40d63e0a797f0000, CarID: 3, Object: C0, time stamp: 3, AID: 0 traveling to connector.
ThreadID: 40c6be09797f0000, CarID: 4, Object: C0, time stamp: 3, AID: 0 traveling to connector.
ThreadID: 40b63e09797f0000, CarID: 5, Object: C0, time stamp: 3, AID: 0 traveling to connector.
ThreadID: 40a6be08797f0000, CarID: 6, Object: C0, time stamp: 3, AID: 0 traveling to connector.
ThreadID: 40963e08797f0000, CarID: 7, Object: C0, time stamp: 3, AID: 0 traveling to connector.
ThreadID: 40f63e0b797f0000, CarID: 1, Object: C0, time stamp: 104, AID: 1 arrived at connector.
ThreadID: 40f63e0b797f0000, CarID: 1, Object: C0, time stamp: 104, AID: 2 started passing connector.
ThreadID: 40e6be0a797f0000, CarID: 2, Object: C0, time stamp: 104, AID: 1 arrived at connector.
ThreadID: 4006bf0b797f0000, CarID: 0, Object: C0, time stamp: 104, AID: 1 arrived at connector.
ThreadID: 40d63e0a797f0000, CarID: 3, Object: C0, time stamp: 105, AID: 1 arrived at connector.
ThreadID: 40c6be09797f0000, CarID: 4, Object: C0, time stamp: 105, AID: 1 arrived at connector.
ThreadID: 40b63e09797f0000, CarID: 5, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 40963e08797f0000, CarID: 7, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 40a6be08797f0000, CarID: 6, Object: C0, time stamp: 107, AID: 1 arrived at connector.
ThreadID: 40e6be0a797f0000, CarID: 2, Object: C0, time stamp: 115, AID: 2 started passing connector.
ThreadID: 40b63e09797f0000, CarID: 5, Object: C0, time stamp: 125, AID: 2 started passing connector.
ThreadID: 40a6be08797f0000, CarID: 6, Object: C0, time stamp: 135, AID: 2 started passing connector.
ThreadID: 40f63e0b797f0000, CarID: 1, Object: C0, time stamp: 204, AID: 3 finished passing connector.
