ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 101, AID: 2 started passing connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 101, AID: 1 arrived at connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 301, AID: 1 arrived at connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 311, AID: 2 started passing connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 501, AID: 3 finished passing connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 501, AID: 0 traveling to connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 601, AID: 1 arrived at connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 601, AID: 1 arrived at connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 611, AID: 2 started passing connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 621, AID: 2 started passing connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 631, AID: 2 started passing connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 711, AID: 3 finished passing connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 711, AID: 0 traveling to connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 1010, AID: 1 arrived at connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 1010, AID: 3 finished passing connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 1010, AID: 0 traveling to connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 1020, AID: 3 finished passing connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 1020, AID: 0 traveling to connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 1031, AID: 3 finished passing connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 1031, AID: 0 traveling to connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 1031, AID: 2 started passing connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 1042, AID: 2 started passing connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 1052, AID: 2 started passing connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 1111, AID: 1 arrived at connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 1122, AID: 1 arrived at connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 1132, AID: 1 arrived at connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 1432, AID: 3 finished passing connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 1432, AID: 0 traveling to connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 1442, AID: 3 finished passing connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 1442, AID: 0 traveling to connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 1452, AID: 3 finished passing connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 1452, AID: 0 traveling to connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 1452, AID: 2 started passing connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 1462, AID: 2 started passing connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 1472, AID: 2 started passing connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 1542, AID: 1 arrived at connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 1752, AID: 1 arrived at connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 1852, AID: 3 finished passing connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 1852, AID: 0 traveling to connector.
